concert_id;opener_ar1;opener_ar2;city;date;tick_sales;is_mashup_1;surp_1;album_1;is_mashup_2;surp_2;album_2;cancel;cancel_cause;wkt_geom;place;x;y
1;Paramore;Gayle;Glendale;17.03.2023;78600    ;false;Mirrorball;folklore;false;Tim McGraw;Taylor Swift (debut);false;;Point (-112.26266821610485636 33.52772634311506295);State Farm Stadium;-112.263;33.528
2;Paramore;Gayle;Glendale;18.03.2023;78600    ;false;This Is Me Trying;folklore;false;State of Grace;Red;false;;Point (-112.26266821610485636 33.52772634311506295);State Farm Stadium;-122.263;33.528
3;Beabadoobee;Gayle;Las Vegas;24.03.2023;71835    ;false;Our Song;Taylor Swift (debut);false;Snow on the Beach;Midnights;false;;Point (-115.18330431355067844 36.09074577844533138);Allegiant Stadium;-115.183;36.091
4;Beabadoobee;Gayle;Las Vegas;25.03.2023;71835    ;false;Cowboy like Me;evermore;false;White Horse;Fearless;false;;Point (-115.18330431355067844 36.09074577844533138);Allegiant Stadium;-115.183;36.091
5;Muna;Gayle;Arlington;31.03.2023;105000    ;false;Sad Beautiful Tragic;Red;false;Ours;Speak Now;false;;Point (-97.09292585262728892 32.74779430872554542);AT&T Stadium;-97.093;32.748
6;Beabadoobee;Gracie Abrams;Arlington;01.04.2023;105000    ;false;Death by a Thousand Cuts;Lover;false;Clean;1989;false;;Point (-97.09292585262728892 32.74779430872554542);AT&T Stadium;-97.093;32.748
7;Beabadoobee;Gracie Abrams;Arlington;02.04.2023;105000    ;false;Jump then Fall;Fearless;false;The Lucky One;Red;false;;Point (-97.09292585262728892 32.74779430872554542);AT&T Stadium;-97.093;32.748
8;Beabadoobee;Gayle;Tampa;13.04.2023;75000    ;false;Speak Now;Speak Now;false;Treacherous;Red;false;;Point (-82.50334858637130253 27.97596826762611855);Raymond James Stadium;-82.503;27.976
9;Beabadoobee;Gracie Abrams;Tampa;14.04.2023;75000    ;false;The Great War;Midnights;false;You're on Your Own, Kid;Midnights;false;;Point (-82.50334858637130253 27.97596826762611855);Raymond James Stadium;-82.503;27.976
10;Beabadoobee;Gracie Abrams;Tampa;15.04.2023;75000    ;false;Mean;Speak Now;false;Mad Woman;folklore;false;;Point (-82.50334858637130253 27.97596826762611855);Raymond James Stadium;-82.503;27.976
11;Beabadoobee;Gracie Abrams;Houston;21.03.2023;80000    ;false;Wonderland;1989;false;You're Not Sorry;Fearless;false;;Point (-95.41081146021359416 29.68484946068184982);NRG Stadium;-95.411;29.685
12;Beabadoobee;Gracie Abrams;Houston;22.04.2023;80000    ;false;A Place in This World;Taylor Swift (debut);false;Today Was a Fairytale;Fearless;false;;Point (-95.41081146021359416 29.68484946068184982);NRG Stadium;-95.411;29.685
13;Beabadoobee;Gracie Abrams;Houston;23.04.2023;80000    ;false;Begin Again;Red;false;Cold as You;Taylor Swift (debut);false;;Point (-95.41081146021359416 29.68484946068184982);NRG Stadium;-95.411;29.685
14;Beabadoobee;Gracie Abrams;Atlanta;28.04.2023;75000    ;false;The Other Side of the Door;Fearless;false;Coney Island;evermore;false;;Point (-84.40082603024616503 33.75541064808440694);Mercedes-Benz Stadium;-84.401;33.755
15;Beabadoobee;Gracie Abrams;Atlanta;29.04.2023;75000    ;false;High Infidelity;Midnights;false;Gorgeous;Reputation;false;;Point (-84.40082603024616503 33.75541064808440694);Mercedes-Benz Stadium;-84.401;33.755
